Students	1081
0843307	003274 006868 
0901732	001152 001176 001472 002871 
1066679	001152 002636 006026 
1050781	002856 008421 008764 
0812300	002163 002166 006043 006049 
0772032	008459 008501 
0900525	004356 008421 
1006105	003427 
0806873	002174 
0677533	001565 001567 008459 
0992796	002153 004010 004803 
0534728	001190 
0786698	005191 008434 008446 008501 
0829376	007923 007926 
0859319	006049 
1016462	001161 001227 001841 006847 
0918064	001152 001168 004015 006031 
0903917	001195 001837 002161 008766 
0903600	001839 001840 004858 
0859310	002876 004836 004872 005743 
0861815	001243 001837 001839 001842 
0915589	002636 008459 
0831031	007040 
0950504	001466 001472 004360 005177 
1083431	003481 006024 007017 007032 
0850854	002166 002178 004698 
1056600	001152 002368 003270 004356 
0911802	001837 002992 005180 
0911775	002856 006024 008766 
1080398	002871 004804 006024 008774 
0799414	003278 005263 
0911807	002856 007378 
0848492	001227 001839 001840 006847 
0779276	001766 004012 
0850327	006035 006041 007026 
1083626	004010 
0960068	001840 002153 002856 004016 
1005082	002856 004276 006024 006502 
0892206	001840 006847 007403 
1065781	004276 006504 008475 008766 
0871788	001552 001562 008434 
0770814	005263 005284 
0897101	006031 
0833031	001840 006043 
0967988	003004 003009 006031 
0850690	001190 007106 008766 
0806452	005738 006041 
1077380	001152 002856 
1007348	001763 001837 002856 004836 
0788562	001244 001249 
0826670	003278 005272 
1064780	002856 002992 006024 006504 
1085061	004010 007365 
0993566	001168 001771 002856 008774 
0904347	002856 005723 007041 008774 
0861391	001168 001839 001842 002368 
0809463	001249 001771 004817 008766 
0910421	003029 006034 006041 
0965925	003421 003533 004356 
1068383	001426 007045 008766 
0871309	004836 004845 004872 005263 
0860257	001768 003454 003533 007882 
0813159	003037 007026 
0912333	003472 003554 003567 007888 
0920248	001766 003472 005738 
0896929	003011 004276 006034 006041 
1005412	002871 004012 006031 
0914260	001152 001163 001227 001242 
0851403	001771 002163 002166 002934 
0904706	003274 007396 008782 
0917165	005141 006031 006035 
0915648	005180 005193 005725 006849 
0849535	007391 007396 
0897911	003426 003481 003530 
0848789	003029 007923 
1056203	002856 005723 006024 
0818384	001249 006024 
0909675	001168 001195 001840 001844 
1079366	002992 003407 004010 007365 
0859186	002362 002395 002397 
0851033	004010 
0787582	001168 006868 006872 
0709554	007017 007040 
1045379	001837 002876 006024 008764 
1006438	001837 002562 002856 
0798802	002174 002178 004394 
0634162	002929 002952 004083 
0886763	002163 002166 002178 002366 
0915226	002638 002941 
1040618	002856 003421 007878 
0814822	007017 007026 
0755872	004276 004824 004845 
1058242	005723 006024 
1019006	002856 004016 005200 007365 
0880639	006043 
0907172	001565 001567 001572 
