Students	1090
3098292	002855 006024 008767 
0988631	004873 
1086489	007113 
3100678	002855 004807 008763 
3105046	002562 002855 002992 008763 
3064940	001166 001836 006029 006846 
3098883	002151 002855 006023 008765 
1037745	001213 001248 001838 011035 
1084334	006502 
3085083	002855 005199 006029 006860 
1005199	002643 011044 
1096470	001151 003270 006029 
1076877	001151 004735 005856 006038 
0145661	010957 
1086710	002367 008467 008763 
1029737	001841 004379 
1041140	005156 005202 007372 007375 
1017832	001839 001856 001864 004017 
1133174	001763 002160 002869 008467 
0672478	006500 009263 
1007134	005199 007124 007127 011055 
1056024	002855 006023 007026 008763 
1049299	001839 001862 004807 009322 
3099986	002151 002855 005119 006023 
3069038	003447 007026 
1003128	007372 007375 010961 
3072594	002856 006029 006848 
0904918	004873 010960 
1092187	001836 002149 002856 006023 
1078896	001836 002856 004017 
1006405	002151 006846 008479 008500 
0906896	001839 001890 004666 011075 
0918549	006500 
3106525	002855 005722 007008 008774 
3104899	002855 002869 004011 011045 
1099662	002856 004733 005856 
3071313	001838 006026 008765 
1166163	001151 001423 002855 004359 004733 
1080654	002855 005845 006848 009225 
1080653	005121 006029 009225 010947 
1077874	001836 004827 005845 
1080303	001166 001168 005199 
0917732	002712 005247 011064 
3104731	002855 003007 004017 007010 
3070374	001561 004036 005724 006500 008763 
3077064	001747 003007 003008 008767 
1170567	004274 007010 008773 
3073146	002149 002855 005141 006023 
3099468	001151 002855 005722 006500 
1149344	003447 006023 007008 007377 
0988100	001763 007381 
1066778	001764 002160 011075 
1058180	001836 002869 003447 003454 
3092880	002855 004013 005141 006500 
0999826	001838 008765 009266 
1115477	001166 002657 002856 008774 
1066679	001838 002637 007113 
3103177	001423 002855 004274 006024 
3104770	002855 005722 006023 
0897931	002367 002992 004733 
3078500	001752 001836 007887 
0963413	002992 007375 007395 
1017492	001836 002160 006023 006500 
1006105	001836 006023 006550 
3073300	002367 004827 004839 010953 
0992796	005156 010935 
0993517	001168 001547 007372 009262 
0945809	002712 006023 
0918064	001166 001213 001248 
0903917	001166 001248 004666 
3100110	001752 002855 006023 008767 
1020478	001769 
0950504	001166 001176 001473 
3086400	001561 002152 002855 004014 006029 
1056600	005202 007372 007375 007381 
0911802	007125 007127 010971 
1080398	006519 010725 010953 
1004324	007008 007380 007395 
0911807	003008 007372 
1144234	002856 002992 004014 008420 
1083627	001444 010934 
1083626	001845 007113 
1026650	003009 011035 
0960068	006846 007124 011075 
1005082	004011 006042 006054 010851 
1060299	003422 004359 007372 
1169402	004023 004036 007372 007377 
3096962	002855 002992 004011 006024 
0999896	002399 002413 002472 
1036442	001841 001862 010935 
0967988	006042 006044 006059 009266 
1056217	003454 003511 010953 
1161960	002855 004014 007364 008763 
1089147	002869 006029 
1007348	004873 004888 008765 009322 
1157047	002869 002992 005852 006029 
1126639	001838 007010 010953 
1117320	002856 004274 004278 006029 
3106953	002855 007364 008763 
1064780	003029 006042 006044 
1088558	001836 002160 002869 006029 
1085061	003447 003484 003511 004666 
3087696	002855 004009 004806 006026 
1080272	004014 006023 007380 007881 
0993566	001763 003511 003531 
0965927	005845 006026 
1006744	001166 001843 001862 007010 
3078465	002856 004013 004274 
1088972	005199 
1064270	006519 008420 008479 010953 
1169382	002367 007372 008765 011076 
0920248	003531 010725 011079 
1143723	001836 002856 007381 009322 
1170709	001151 002855 008763 
0896929	006042 006059 009322 
1005149	001473 004009 
1001894	003007 003027 003270 005737 
1088690	004274 006500 007010 008782 
3080333	006846 
1002364	004665 007010 007375 
0917165	009263 
0915648	002869 007010 009304 009322 
0998972	003009 011031 011035 
3089651	003007 004014 007372 
1171905	001836 002562 002855 006024 
3096011	002152 002855 006024 008767 
1079366	002164 006029 006846 
1079363	002992 006029 007377 
3102915	002151 002855 006024 008763 
3095009	002855 005156 006026 007008 
3090519	001423 002855 004733 010956 
3090266	002149 002855 006023 
3195980	001151 002367 002856 008763 
3100824	001151 001423 002855 008765 
1045379	001168 001845 001856 002160 
0945969	001862 007380 007395 
3077623	002855 002869 007364 008765 
3085509	002992 004665 004666 
1103391	001151 002856 004013 
3079369	002367 002855 004009 006023 
1056815	006023 007124 
3102599	002152 002855 006023 
1058242	002367 002424 004827 
3092599	001151 002855 004009 006023 
0904516	001166 001168 001894 005243 
1019006	003454 004017 006026 
3097462	002562 002855 004807 007364 
1170703	001151 002394 002992 003447 
1122784	001838 007372 008765 011076 
